"time","state","charge","count"
1387113000,discharging,7,1
1387113600,discharging,5,1
1387114200,discharging,3,1
1387114800,charging,6,1
1387115400,charging,17,1
1387116000,charging,28,1
1387116600,charging,38,1
1387117200,charging,47,1
1387117800,discharging,47,1
1387118400,discharging,44,1
1387119000,discharging,42,1
1387119600,discharging,39,1
1387135271,discharging,45,1
1387171965,charging,30,1
1387175223,charging,77,1
1387179454,charging,99,1
1387179600,charging,99,1
1387179720,charging,99,1
1387179840,charging,99,1
1387179960,charging,99,1
1387180080,charged,100,1
1387180200,charged,100,1
1387180320,discharging,100,1
1387180800,discharging,100,1
